Year,Projected_Sea_tmp,LinRegress_Sea_tmp
1880,-0.47,-0.47
1890,-0.89,-0.89
1900,-0.48,-0.48
1910,-1.11,-1.11
1920,-0.72,-0.72
1930,-0.58,-0.58
1940,-0.18,-0.18
1950,-0.55,-0.55
1960,-0.3,-0.3
1970,-0.31,-0.31
1980,0.08,0.08
1990,0.27,0.27
2000,0.23,0.23
2010,0.61,0.61
2020,0.77,0.82
2030,0.99,1.05
2040,1.2,1.29
2050,1.42,1.52
2060,1.63,1.76
2070,1.84,1.99
2080,2.06,2.23
2090,2.27,2.46
2100,2.49,2.7
2110,2.7,2.93
2120,2.91,3.17
2130,3.13,3.4
2140,3.34,3.64
2150,3.56,3.87
2160,3.77,4.11
2170,3.99,4.34
2180,4.2,4.58
2190,4.41,4.81
2200,4.63,5.05
