Year,Category_1,Category_4,Category_2,Category_3,Hurricane_total
1900,0.0,2.0,1.0,0.0,3.0
1910,0.0,2.0,0.0,2.0,4.0
1920,0.0,0.0,2.0,0.0,2.0
1930,0.0,1.0,0.0,0.0,1.0
1940,2.0,0.0,5.0,0.0,7.0
1950,23.0,1.0,12.0,10.0,46.0
1960,8.0,8.0,12.0,19.0,47.0
1970,10.0,0.0,12.0,4.0,26.0
1980,60.0,19.0,64.0,10.0,153.0
1990,175.0,20.0,81.0,65.0,341.0
2000,102.0,6.0,61.0,34.0,203.0
2010,76.0,25.0,67.0,42.0,210.0
2020,113.0,42.0,56.0,61.0,296.0
2030,132.0,50.0,54.0,71.0,345.0
2040,150.0,59.0,52.0,81.0,394.0
2050,169.0,68.0,50.0,91.0,444.0
2060,188.0,76.0,48.0,101.0,493.0
2070,206.0,85.0,46.0,111.0,542.0
2080,225.0,94.0,44.0,121.0,592.0
2090,244.0,102.0,42.0,131.0,641.0
2100,262.0,111.0,39.0,141.0,690.0
2110,281.0,120.0,37.0,151.0,740.0
2120,299.0,128.0,35.0,161.0,789.0
2130,318.0,137.0,33.0,172.0,838.0
2140,337.0,146.0,31.0,182.0,888.0
2150,355.0,154.0,29.0,192.0,937.0
2160,374.0,163.0,27.0,202.0,987.0
2170,393.0,172.0,25.0,212.0,1036.0
2180,411.0,180.0,23.0,222.0,1085.0
2190,430.0,189.0,20.0,232.0,1135.0
2200,449.0,198.0,18.0,242.0,1184.0
