,Year,Annual Increase,Uncertainty
0,1959-11-01,0.96,0.31
1,1960-11-01,0.71,0.27
2,1961-11-01,0.78,0.27
3,1962-11-01,0.56,0.27
4,1963-11-01,0.57,0.28
5,1964-11-01,0.49,0.27
6,1965-11-01,1.1,0.26
7,1966-11-01,1.1,0.28
8,1967-11-01,0.61,0.34
9,1968-11-01,0.99,0.32
10,1969-11-01,1.32,0.29
11,1970-11-01,1.13,0.32
12,1971-11-01,0.73,0.3
13,1972-11-01,1.47,0.31
14,1973-11-01,1.46,0.31
15,1974-11-01,0.68,0.31
16,1975-11-01,1.23,0.27
17,1976-11-01,0.97,0.28
18,1977-11-01,1.92,0.29
19,1978-11-01,1.29,0.24
20,1979-11-01,2.14,0.26
21,1980-11-01,1.7,0.11
22,1981-11-01,1.15,0.07
23,1982-11-01,0.99,0.07
24,1983-11-01,1.85,0.09
25,1984-11-01,1.24,0.12
26,1985-11-01,1.62,0.1
27,1986-11-01,1.02,0.11
28,1987-11-01,2.7,0.1
29,1988-11-01,2.25,0.09
30,1989-11-01,1.38,0.11
31,1990-11-01,1.17,0.09
32,1991-11-01,0.74,0.09
33,1992-11-01,0.7,0.1
34,1993-11-01,1.23,0.07
35,1994-11-01,1.68,0.11
36,1995-11-01,1.95,0.11
37,1996-11-01,1.06,0.08
38,1997-11-01,1.97,0.08
39,1998-11-01,2.82,0.11
40,1999-11-01,1.37,0.08
41,2000-11-01,1.23,0.11
42,2001-11-01,1.82,0.09
43,2002-11-01,2.36,0.07
44,2003-11-01,2.29,0.09
45,2004-11-01,1.57,0.05
46,2005-11-01,2.43,0.08
47,2006-11-01,1.75,0.06
48,2007-11-01,2.09,0.07
49,2008-11-01,1.79,0.05
50,2009-11-01,1.61,0.06
51,2010-11-01,2.43,0.07
