,Year,Total,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita,concentration
1,1752,3,0,0,3,0,0,,277.23
12,1763,3,0,0,3,0,0,,277.16
13,1764,3,0,0,3,0,0,,276.4
22,1773,4,0,0,4,0,0,,277.86
28,1779,4,0,0,4,0,0,,280.24
29,1780,4,0,0,4,0,0,,273.07
43,1794,6,0,0,6,0,0,,281.62
45,1796,6,0,0,6,0,0,,281.35
48,1799,7,0,0,7,0,0,,282.8
63,1814,11,0,0,11,0,0,,284.43
74,1825,17,0,0,17,0,0,,281.36
76,1827,18,0,0,18,0,0,,285.91
82,1833,24,0,0,24,0,0,,284.45
86,1837,29,0,0,29,0,0,,284.15
90,1841,34,0,0,34,0,0,,283.65
92,1843,37,0,0,37,0,0,,281.58
93,1844,39,0,0,39,0,0,,283.53
94,1845,43,0,0,43,0,0,,283.18
95,1846,43,0,0,43,0,0,,283.62
96,1847,46,0,0,46,0,0,,286.84
99,1850,54,0,0,54,0,0,,284.0
100,1851,54,0,0,54,0,0,,287.13
103,1854,69,0,0,69,0,0,,288.05
104,1855,71,0,0,71,0,0,,285.57
106,1857,77,0,0,77,0,0,,283.16
108,1859,83,0,0,83,0,0,,286.63
111,1862,97,0,0,96,0,0,,287.17
112,1863,104,0,0,103,0,0,,285.35
113,1864,112,0,0,112,0,0,,286.65
116,1867,130,0,0,130,0,0,,285.05
117,1868,135,0,0,134,0,0,,288.76
119,1870,147,0,1,146,0,0,,287.16
122,1873,184,0,1,183,0,0,,286.66
123,1874,174,0,1,173,0,0,,291.56
126,1877,194,0,2,192,0,0,,289.33
129,1880,236,0,3,233,0,0,,287.77
132,1883,272,0,3,269,0,0,,292.46
133,1884,275,0,4,271,0,0,,289.49
135,1886,281,2,5,275,0,0,,288.12
136,1887,295,3,5,287,0,0,,294.34
138,1889,327,3,6,318,0,0,,292.34
139,1890,356,3,8,345,0,0,,290.92
141,1892,374,2,9,363,0,0,,295.17
142,1893,370,2,10,358,0,0,,295.09
143,1894,383,2,9,372,0,0,,293.49
148,1899,507,3,14,491,0,0,,296.16
149,1900,534,3,16,515,0,0,,294.22
151,1902,566,4,19,543,0,0,,295.61
153,1904,624,4,23,597,0,0,,295.99
154,1905,663,5,23,636,0,0,,299.02
155,1906,707,5,23,680,0,0,,298.48
158,1909,785,6,32,747,0,0,,301.5
159,1910,819,7,34,778,0,0,,297.87
160,1911,836,7,36,792,0,0,,298.36
162,1913,943,8,41,895,0,0,,301.3
163,1914,850,8,42,800,0,0,,300.7
165,1916,901,10,48,842,0,0,,301.92
167,1918,936,10,53,873,0,0,,303.85
168,1919,806,10,61,735,0,0,,304.61
169,1920,932,11,78,843,0,0,,301.88
172,1923,970,14,111,845,0,0,,304.69
174,1925,975,17,116,842,0,0,,304.84
177,1928,1065,23,143,890,10,0,,306.84
178,1929,1145,28,160,947,10,0,,305.62
180,1931,940,25,147,759,8,0,,305.74
181,1932,847,24,141,675,7,0,,308.26
182,1933,893,25,154,708,7,0,,307.11
183,1934,973,28,162,775,8,0,,308.35
184,1935,1027,30,176,811,9,0,,306.32
185,1936,1130,34,192,893,11,0,,308.3
186,1937,1209,38,219,941,11,0,,307.41
187,1938,1142,37,214,880,12,0,,311.07
188,1939,1192,38,222,918,13,0,,310.83
189,1940,1299,42,229,1017,11,0,,310.38
190,1941,1334,42,236,1043,12,0,,309.77
191,1942,1342,45,222,1063,11,0,,312.37
193,1944,1383,54,275,1047,7,0,,312.36
194,1945,1160,59,275,820,7,0,,310.94
195,1946,1238,61,292,875,10,0,,312.26
196,1947,1392,67,322,992,12,0,,311.61
197,1948,1469,76,364,1015,14,0,,311.57
198,1949,1419,81,362,960,16,0,,309.69
199,1950,1630,97,423,1070,18,23,0.64,312.83
201,1952,1795,124,504,1119,22,26,0.68,312.18
203,1954,1865,138,557,1116,27,27,0.69,312.73
204,1955,2042,150,625,1208,30,31,0.74,314.71
205,1956,2177,161,679,1273,32,32,0.77,315.34
206,1957,2270,178,714,1309,34,35,0.79,315.34
207,1958,2330,192,731,1336,36,35,0.8,315.34
208,1959,2454,206,789,1382,40,36,0.83,315.97
209,1960,2569,227,849,1410,43,39,0.85,316.91
210,1961,2580,240,904,1349,45,42,0.84,317.64
211,1962,2686,263,980,1351,49,44,0.86,318.45
212,1963,2833,286,1052,1396,51,47,0.88,318.99
213,1964,2995,316,1137,1435,57,51,0.92,319.62
214,1965,3130,337,1219,1460,59,55,0.94,320.04
215,1966,3288,364,1323,1478,63,60,0.97,321.38
216,1967,3393,392,1423,1448,65,66,0.98,322.16
217,1968,3566,424,1551,1448,70,73,1.01,323.04
218,1969,3780,467,1673,1486,74,80,1.05,324.62
219,1970,4053,493,1839,1556,78,87,1.1,325.68
220,1971,4208,530,1947,1559,84,88,1.12,326.32
221,1972,4376,560,2057,1576,89,94,1.14,327.45
222,1973,4614,588,2241,1581,95,110,1.18,329.68
223,1974,4623,597,2245,1579,96,107,1.16,330.18
224,1975,4596,604,2132,1673,95,92,1.13,331.11
225,1976,4864,630,2314,1710,103,108,1.18,332.04
226,1977,5026,650,2398,1765,108,104,1.19,333.83
227,1978,5087,680,2392,1793,116,106,1.19,335.4
228,1979,5369,721,2544,1887,119,98,1.23,336.84
229,1980,5315,740,2422,1947,120,86,1.2,338.75
230,1981,5152,756,2289,1921,121,64,1.14,340.11
231,1982,5113,740,2196,1992,121,64,1.11,341.45
232,1983,5094,741,2176,1995,125,58,1.09,343.05
233,1984,5280,808,2199,2094,128,51,1.11,344.65
234,1985,5439,837,2186,2237,131,49,1.12,346.12
235,1986,5607,831,2293,2300,137,46,1.14,347.42
236,1987,5752,894,2306,2364,143,44,1.15,349.19
237,1988,5965,937,2412,2414,152,50,1.17,351.57
238,1989,6097,985,2459,2457,156,41,1.17,353.12
239,1990,6127,1019,2492,2419,157,40,1.16,354.39
240,1991,6217,1063,2605,2345,161,44,1.16,355.61
241,1992,6164,1095,2510,2357,167,35,1.13,356.45
242,1993,6162,1129,2523,2298,176,36,1.11,357.1
243,1994,6266,1139,2546,2358,186,38,1.11,358.83
244,1995,6398,1157,2565,2442,197,36,1.12,360.82
245,1996,6542,1209,2624,2469,203,37,1.13,362.61
246,1997,6651,1208,2700,2495,209,38,1.13,363.73
247,1998,6643,1243,2766,2391,209,35,1.12,366.7
248,1999,6610,1270,2737,2352,217,33,1.1,368.38
249,2000,6765,1288,2838,2367,226,45,1.11,369.55
250,2001,6927,1312,2840,2492,237,46,1.12,371.14
251,2002,6996,1344,2831,2521,252,48,1.12,373.28
252,2003,7416,1391,2959,2743,276,48,1.17,375.8
253,2004,7807,1437,3053,2967,298,53,1.21,377.52
254,2005,8093,1480,3076,3157,320,60,1.24,379.8
255,2006,8370,1525,3089,3339,356,61,1.27,381.9
256,2007,8566,1572,3081,3464,382,68,1.28,383.79
257,2008,8783,1631,3122,3571,388,71,1.3,385.6
258,2009,8740,1585,3056,3620,413,66,1.28,387.43
259,2010,9167,1702,3114,3842,450,59,1.33,389.9
