,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,Per Capita,gis_temp,gcag_temp,co2_level,sea_level
208,1959,206,789,1382,40,36,0.83,0.03,0.0596,0.96,-48.0
209,1960,227,849,1410,43,39,0.85,-0.02,0.0204,0.71,-44.3
210,1961,240,904,1349,45,42,0.84,0.05,0.0775,0.78,-38.1
211,1962,263,980,1351,49,44,0.86,0.03,0.0888,0.56,-43.3
212,1963,286,1052,1396,51,47,0.88,0.06,0.1068,0.57,-44.9
213,1964,316,1137,1435,57,51,0.92,-0.2,-0.1495,0.49,-52.8
214,1965,337,1219,1460,59,55,0.94,-0.1,-0.078,1.1,-41.6
215,1966,364,1323,1478,63,60,0.97,-0.05,-0.0227,1.1,-47.0
216,1967,392,1423,1448,65,66,0.98,-0.02,-0.0131,0.61,-45.6
217,1968,424,1551,1448,70,73,1.01,-0.07,-0.0296,0.99,-44.8
218,1969,467,1673,1486,74,80,1.05,0.07,0.0929,1.32,-38.0
219,1970,493,1839,1556,78,87,1.1,0.02,0.0372,1.13,-39.9
220,1971,530,1947,1559,84,88,1.12,-0.09,-0.0783,0.73,-34.7
221,1972,560,2057,1576,89,94,1.14,0.01,0.0264,1.47,-25.6
222,1973,588,2241,1581,95,110,1.18,0.15,0.1641,1.46,-31.6
223,1974,597,2245,1579,96,107,1.16,-0.07,-0.0719,0.68,-19.7
224,1975,604,2132,1673,95,92,1.13,-0.02,0.0034,1.23,-21.3
225,1976,630,2314,1710,103,108,1.18,-0.11,-0.0792,0.97,-22.3
226,1977,650,2398,1765,108,104,1.19,0.18,0.1978,1.92,-24.0
227,1978,680,2392,1793,116,106,1.19,0.07,0.1123,1.29,-17.6
228,1979,721,2544,1887,119,98,1.23,0.17,0.2273,2.14,-22.5
229,1980,740,2422,1947,120,86,1.2,0.27,0.2637,1.7,-16.5
230,1981,756,2289,1921,121,64,1.14,0.33,0.2999,1.15,-4.1
231,1982,740,2196,1992,121,64,1.11,0.13,0.1815,0.99,-9.9
232,1983,741,2176,1995,125,58,1.09,0.3,0.3411,1.85,-1.5
233,1984,808,2199,2094,128,51,1.11,0.15,0.149,1.24,-2.4
234,1985,837,2186,2237,131,49,1.12,0.12,0.1342,1.62,-12.7
235,1986,831,2293,2300,137,46,1.14,0.19,0.2296,1.02,-12.1
236,1987,894,2306,2364,143,44,1.15,0.33,0.3696,2.7,-11.5
237,1988,937,2412,2414,152,50,1.17,0.41,0.3757,2.25,-6.8
238,1989,985,2459,2457,156,41,1.17,0.29,0.297,1.38,-2.3
239,1990,1019,2492,2419,157,40,1.16,0.44,0.4328,1.17,0.0
240,1991,1063,2605,2345,161,44,1.16,0.43,0.4055,0.74,2.5
241,1992,1095,2510,2357,167,35,1.13,0.23,0.2571,0.7,3.2
242,1993,1129,2523,2298,176,36,1.11,0.24,0.2853,1.23,1.4
243,1994,1139,2546,2358,186,38,1.11,0.32,0.3409,1.68,6.6
244,1995,1157,2565,2442,197,36,1.12,0.46,0.4577,1.95,9.5
245,1996,1209,2624,2469,203,37,1.13,0.35,0.3228,1.06,13.6
246,1997,1208,2700,2495,209,38,1.13,0.48,0.5187,1.97,20.6
247,1998,1243,2766,2391,209,35,1.12,0.64,0.6344,2.82,10.7
248,1999,1270,2737,2352,217,33,1.1,0.42,0.4438,1.37,19.2
249,2000,1288,2838,2367,226,45,1.11,0.42,0.4262,1.23,20.5
250,2001,1312,2840,2492,237,46,1.12,0.55,0.5473,1.82,26.0
251,2002,1344,2831,2521,252,48,1.12,0.63,0.6023,2.36,28.4
252,2003,1391,2959,2743,276,48,1.17,0.62,0.6134,2.29,37.6
253,2004,1437,3053,2967,298,53,1.21,0.55,0.5783,1.57,37.2
254,2005,1480,3076,3157,320,60,1.24,0.69,0.6585,2.43,37.3
255,2006,1525,3089,3339,356,61,1.27,0.63,0.6125,1.75,41.6
256,2007,1572,3081,3464,382,68,1.28,0.66,0.61,2.09,43.5
257,2008,1631,3122,3571,388,71,1.3,0.54,0.5419,1.79,52.2
258,2009,1585,3056,3620,413,66,1.28,0.64,0.6367,1.61,58.0
259,2010,1702,3114,3842,450,59,1.33,0.71,0.7014,2.43,65.7
