Year,Projected_Sea_Lvl,LinRegress_Sea_Lvl
1880,0.0,0.0
1890,0.44,0.44
1900,1.13,1.13
1910,1.27,1.27
1920,1.91,1.91
1930,2.06,2.06
1940,2.62,2.62
1950,3.6,3.6
1960,4.5,4.5
1970,4.68,4.68
1980,5.6,5.6
1990,6.23,6.23
2000,7.06,7.06
2010,8.9,8.9
2020,9.75,9.83
2030,10.98,11.12
2040,12.2,12.41
2050,13.43,13.7
2060,14.65,14.99
2070,15.88,16.28
2080,17.1,17.56
2090,18.33,18.85
2100,19.55,20.14
2110,20.78,21.43
2120,22.0,22.72
2130,23.23,24.01
2140,24.45,25.3
2150,25.68,26.59
2160,26.9,27.87
2170,28.13,29.16
2180,29.36,30.45
2190,30.58,31.74
2200,31.81,33.03
