Year,Projected_Sea_tmp,LinRegress_Sea_tmp,Projected_Sea_Lvl,LinRegress_Sea_Lvl,alpha,dashLength
1880,-0.47,-0.47,0.0,0.0,1.0,0
1890,-0.89,-0.89,0.44,0.44,1.0,0
1900,-0.48,-0.48,1.13,1.13,1.0,0
1910,-1.11,-1.11,1.27,1.27,1.0,0
1920,-0.72,-0.72,1.91,1.91,1.0,0
1930,-0.58,-0.58,2.06,2.06,1.0,0
1940,-0.18,-0.18,2.62,2.62,1.0,0
1950,-0.55,-0.55,3.6,3.6,1.0,0
1960,-0.3,-0.3,4.5,4.5,1.0,0
1970,-0.31,-0.31,4.68,4.68,1.0,0
1980,0.08,0.08,5.6,5.6,1.0,0
1990,0.27,0.27,6.23,6.23,1.0,0
2000,0.23,0.23,7.06,7.06,1.0,0
2010,0.61,0.61,8.9,8.9,1.0,0
2020,0.77,0.82,9.75,9.83,0.4,8
2030,0.99,1.05,10.98,11.12,0.4,8
2040,1.2,1.29,12.2,12.41,0.4,8
2050,1.42,1.52,13.43,13.7,0.4,8
2060,1.63,1.76,14.65,14.99,0.4,8
2070,1.84,1.99,15.88,16.28,0.4,8
2080,2.06,2.23,17.1,17.56,0.4,8
2090,2.27,2.46,18.33,18.85,0.4,8
2100,2.49,2.7,19.55,20.14,0.4,8
2110,2.7,2.93,20.78,21.43,0.4,8
2120,2.91,3.17,22.0,22.72,0.4,8
2130,3.13,3.4,23.23,24.01,0.4,8
2140,3.34,3.64,24.45,25.3,0.4,8
2150,3.56,3.87,25.68,26.59,0.4,8
2160,3.77,4.11,26.9,27.87,0.4,8
2170,3.99,4.34,28.13,29.16,0.4,8
2180,4.2,4.58,29.36,30.45,0.4,8
2190,4.41,4.81,30.58,31.74,0.4,8
2200,4.63,5.05,31.81,33.03,0.4,8
