Entity,Code,Year,Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from wind (TWh),Solar Energy,Wind Energy,Biomass & Waste-to-Energy,Liquid Biofuels,Small Hydropower,Geothermal Energy,Marine Energy,Solar gen/cost,Wind gen/cost,Hydro gen/cost
World,OWID_WRL,2004,2820.7,235.3,3.0,85.1,11.2,19.6,8.3,4.0,2.7,1.2,0.0,0.3,4.3,56.4
World,OWID_WRL,2005,2916.4,254.6,4.2,104.1,15.9,28.5,9.8,9.9,7.4,1.2,0.1,0.3,3.7,58.3
World,OWID_WRL,2006,3027.7,271.7,5.7,132.9,21.9,39.7,12.8,28.6,7.5,1.4,0.8,0.3,3.3,60.6
World,OWID_WRL,2007,3079.3,294.8,7.8,170.7,38.9,61.1,23.0,27.4,6.4,1.7,0.8,0.2,2.8,61.6
World,OWID_WRL,2008,3257.4,315.5,12.6,220.6,61.3,74.8,17.5,18.4,7.6,1.7,0.2,0.2,2.9,65.1
World,OWID_WRL,2009,3252.5,339.6,21.0,276.1,64.0,79.7,15.0,10.2,6.2,2.8,0.3,0.3,3.5,65.0
World,OWID_WRL,2010,3435.8,379.9,33.7,346.5,103.6,101.6,16.6,10.5,8.1,2.9,0.2,0.3,3.4,68.7
World,OWID_WRL,2011,3501.1,398.7,65.1,440.6,154.9,84.2,19.9,10.6,7.5,3.9,0.2,0.4,5.2,70.0
World,OWID_WRL,2012,3649.7,430.8,100.8,530.9,140.6,84.4,14.9,7.2,6.4,1.6,0.3,0.7,6.3,73.0
World,OWID_WRL,2013,3814.0,464.0,139.1,635.8,119.1,89.0,12.4,5.2,5.6,2.9,0.2,1.2,7.1,76.3
World,OWID_WRL,2014,3894.2,500.9,197.9,706.5,143.9,108.5,10.8,5.3,6.4,2.9,0.3,1.4,6.5,77.9
World,OWID_WRL,2015,3884.6,538.3,256.8,831.6,171.7,124.2,6.7,3.5,3.5,2.3,0.2,1.5,6.7,77.7
World,OWID_WRL,2016,4012.9,547.9,328.2,963.8,113.7,112.5,6.8,2.2,3.5,2.7,0.2,2.9,8.6,80.3
