Rank,Company,Country,Percentage
1,China (Coal),China,14.32%
2,Saudi Arabian Oil Company (Aramco),Saudi Arabia,4.50%
3,Gazprom OAO,Russia,3.91%
4,National Iranian Oil Co,Iran,2.28%
5,ExxonMobil Corp,United States,1.98%
6,Coal India,India,1.87%
7,Petroleos Mexicanos (Pemex),Mexico,1.87%
8,Russia (Coal),Russia,1.86%
9,Royal Dutch Shell PLC,"Netherlands, United Kingdom",1.67%
10,China National Petroleum Corp (CNPC),China,1.56%
11,BP,United Kingdom,1.53%
12,Chevron Corp,United States,1.31%
13,Petroleos de Venezuela SA (PDVSA),Venezuela,1.23%
14,Abu Dhabi National Oil Co,United Arab Emirates,1.20%
15,Poland (Coal),Poland,1.16%
16,Peabody Energy Corp,United States,1.15%
17,Sonatrach SPA,Algeria,1.00%
18,Kuwait Petroleum Corp,Kuwait,1.00%
19,Total SA,France,0.95%
20,BHP Billiton Ltd,"Australia, United Kingdom",0.91%
